companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
FURUKAWA THERMAL MANAGEMENT SOLUTIONS AND PRODUCTS LAGUNA INC.,NA,Planning Engineer,Santa Rosa,"Health insurance Life insurance Opportunities for promotion Promotion to permanent employee Transportation service provided 8 hour shift 13th month salary Overtime pay Santa Rosa City, Laguna: Reliably commute or planning to relocate before starting work (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e5ba4909&cb=1654778203378&jobListingId=1007901907003&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-78a8f785b7398851-
MRS WOOD INDUSTRIES AND CONSTRUCTION,NA,Office Engineer,Quezon City,Additional leave Company Christmas gift Company events Health insurance Opportunities for promotion Paid training Pay raise Promotion to permanent employee 8 hour shift 13th month salary Overtime pay Performance bonus,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_537b9700&cb=1654778203378&jobListingId=1007862120306&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-216af61ee182313f-
"DAIHO (PHILS.), INC",NA,Staff Engineer,Binãn,"Candidate must possess at least a Bachelor's/College Degree in Industrial Engineering or Mechanical Engineering At least 1 year of working experience Knowledgeable in Plastic Injection Moulding process Knowledgeable in Kaizen, 5S, 7 QC tools/TQC, Lean system, Takt Time Analysis With experience in a Japanese manufacturing set-up; must be flexible, with strong interpersonal and leadership skills Computer literate (Microsoft Office) Fresh Graduates may apply Paid training Transportation service provided 8 hour shift Day shift 13th month salary Overtime pay Yearly bonus Bachelor's (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8433fffa&cb=1654778203377&jobListingId=1007884220176&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-e263d7345b154c41-
Fastech Advanced Assembly Inc.,4.3,Cadet Engineer,Cabuyao,"Graduate of engineering course (ECE, CHE, IE, ME, Material Science) With or without experience. Fresh graduates are welcome to apply! Computer literate Can work in shifting schedule (Tri-shift) 8 hour shift Cabuyao, Laguna: Reliably commute or planning to relocate before starting work (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fb190e34&cb=1654778203375&jobListingId=1007903921545&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-eee5d9f76d5a5635-
Alpha Maintenance,4.2,Oil & Gas Process Engineer - Technical Writter M/F,Pampanga,"Operating manuals & facilities description producing.  * Operating procedures producing according to client specifications. Training materials and Handbooks Preparation. Designers production of manual diagrams supervision. Client comments incorporating following documents review cycle. Regular activity reports writing & issuing to project managers. Production progress tables Daily update. Client data and documentation collecting & acquisition. Replying to client technical clarifications. Controlling of the correct implementation of the interactive version of the operating manuals Participating & supervizing of the preparation of the Operating Manual packages Holder of a Master degree mainly focused on process engineering / Chemical Engineering, you can justify of a first experience in a similar position. Good technical writing and interpersonal skills Good knowledge of industrial installations (petrochemicals, refining ...) , Oil & gas branch Good knowledge on industrial plans reading (P&ID’s, PFD…) and process documents Good level on Office Pack required Fluent in English required",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&cs=1_7b4baf75&cb=1654778203372&jobListingId=1007850248464&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-0b8e0046da5e78e8--6NYlbfkN0CvAkBB-wLKBJwpk_QEebqWsMYGMubWCIlbd5f4RRvvMajjU7yhmcH0K2dRz1TmRSKdm8Upf3RZH4nytu1q6PKHJU-yazDYPwCWCm9iFAL-K40QdPbcaepaqPFFZtgfq3u3TtRripd5GuWWmPSzX1iBa2hqbAAnv7Ztow5HB6HOTVGa15xtxkAf0kFNEO6SnRT70ExarcE_JsA2iMdZT28mE6yRqEns5_7siov7PX0W3U8iT_0CXGwBiWrMj1TNlBO15nU-Nf2DOud0z4rK3wRnGLvV0mGN3S-5UcQljCSRq_sZ5jOt-PvIx_voATvJHPtLMX6pAZyP05GnocX987Tn2ZleMF03y56pIqyL5Gz5pbtJcUwaYKRrzFl_5ONH9D7lmd5TdXeAzuhsPMwpTfzRJRoCKbdyWpzpbRgsh-Cn5mpUDE9VjJOfTXFx7OHzrZV1owz2eZLgtc9MfFZbI8h0wM4CkpJ2DXjx2C8ETyBFIPgfxsBLccGhvI9BR1hHDgAgcxBVC0M9fnRZbR8aM8N8mNTl_1lgXIo%3D
P. IMES,3.8,PRODUCTION ENGINEER,Rosario,"Engineering Graduate (ME/ EE/ ECE) 
Preferably with experience in electronics/semiconductor company/ cable manufacturing 
With problem solving skills",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&cs=1_cad6a3b6&cb=1654778203378&jobListingId=1006861804563&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-501e521088c59516-
Dimension-All Inc.,NA,Junior Design Engineer,Calamba,Prepares the initial proposal for take-off list and drawings based on client's requirement and structural plans Prepares Design Calculation and Methodology of proposed layout Responsible also for the rework based on client's comment or EM's recommendation B.S. Degree in any Engineering Course (with or without license) At least 1 year work experience Basic and Advanced CAD Knowledge Additional leave Company Christmas gift Company events Flextime Health insurance Life insurance Paid training Work from home 10 hour shift 13th month salary Overtime pay Bachelor's (Required) Design Engineer: 1 year (Required) Temporarily due to COVID-19,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6b673591&cb=1654778203372&jobListingId=1007643369729&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-6981c8b8daa1d65a-
Divergence HR Consulting Group,NA,"Junior Engineers (Open to Fresh Graduates - EE, ECE, CPE)",Alabang,"Current vacancies are for IC Design Engineer and IC Layout Engineer Open to fresh graduates Willing to start ASAP Willing to work in Alabang, Muntinlupa Flexible work schedule - (e.g. 7-4 pm, 8-5 pm, 9-6 pm) Fixed Weekends off. Day shift only Exciting Benefits Package HMO on your day 1. Free snacks and coffee And many more! Company events Flexible schedule Flextime Health insurance Paid training Staff meals provided Transportation service provided 8 hour shift Flexible shift Monday to Friday 13th month salary Overtime pay Alabang: Reliably commute or planning to relocate before starting work (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8630b898&cb=1654778203377&jobListingId=1007917217706&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-dd22a40dd25443a0-
AL AMAL SPECIALIST RECRUITMENT,NA,Assistant Chief Engineer,Tagaytay,How many years is your experience as Assistant Chief Engineer in a 5-star hotel? How many years is your experience as Assistant Chief Engineer in Facilities Management Company?+,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8924e84e&cb=1654778203376&jobListingId=1007845682796&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-e023cd6f80dd6895-
AJ3 Electrolink Corporation,NA,Project Engineer,Antipolo,Transportation service provided 8 hour shift 13th month salary Overtime pay Bachelor's (Preferred) Project Engineer: 1 year (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d1cdc2e0&cb=1654778203373&jobListingId=1007912887852&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-ccf5da7b1d8209c3-
LPJ,4.6,AV Drafting Engineer (WFH),Manila,"Should have experience in AutoCAD and Revit (intermediate level) as well as a developed understanding of architectural drawings and standard practices. Should have some AV Drafting/Engineering experience. Should have Revit training and experience Candidates should be an effective written and oral communicator, and able to participate in client and stakeholder meetings on a regular basis as well as field video conference calls. Candidates should be familiar with Microsoft Outlook, Microsoft Excel and Word and Adobe PDF as well. Furthermore, a close attention to detail and eagerness to meet the client’s expectations flawlessly is paramount for this position. Work by this individual will be performed on a weekly basis of 40 hours a week. Can work Night Shift Schedule Activities will include a multitude of engineering and drafting related tasks not limited to: the production of engineering documents (system functional, floor plan, elevation drawings) and additional related engineering tasks. The most apt candidate should be able to adjust to varying needs based on the individual client’s documented practices and drawing standards. The position will report directly to the AV Engineering Account Manager. 20 Day Leave (15 VL and 5 SL) annually Health Insurance (HMO) Salary Increase based on Performance upon 6th month and/or annual Allowances Learning Opportunities Work-Life Balance Open and transparent Management Health insurance Work from home 8 hour shift 13th month salary Commission pay Overtime pay",https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7279264b&cb=1654778335660&jobListingId=1007893484054&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-f4c88170a0bef646-
FIRST GEN POWER CORP,NA,Mechanical Engineer,Santo Tomas,"Research, design, develop, build, and test mechanical and thermal devices, including tools, engines, and machines. Design, assessing and measuring the performance of mechanical components, devices, and equipment Maintaining and modifying equipment to ensure that it is safe, reliable, and efficient Using computer-aided design/modelling software Producing and implementing designs and test procedures Testing, evaluating, modifying, and re-testing products Writing reports and documentation Providing technical advice Analyzing and interpreting data on the mechanical aspect Contributes to team effort by accomplishing related results as needed. Additional leave Company Christmas gift Health insurance Life insurance Opportunities for promotion Paid training Promotion to permanent employee 8 hour shift 13th month salary Santo Tomas, Batangas: Reliably commute or planning to relocate before starting work (Required)",https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1ebc899d&cb=1654778335650&jobListingId=1007920593809&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-16607bb8093b811d-
Alpha Maintenance,4.2,Oil & Gas Process Engineer - Technical Writter M/F,Pampanga,"Operating manuals & facilities description producing.  * Operating procedures producing according to client specifications. Training materials and Handbooks Preparation. Designers production of manual diagrams supervision. Client comments incorporating following documents review cycle. Regular activity reports writing & issuing to project managers. Production progress tables Daily update. Client data and documentation collecting & acquisition. Replying to client technical clarifications. Controlling of the correct implementation of the interactive version of the operating manuals Participating & supervizing of the preparation of the Operating Manual packages Holder of a Master degree mainly focused on process engineering / Chemical Engineering, you can justify of a first experience in a similar position. Good technical writing and interpersonal skills Good knowledge of industrial installations (petrochemicals, refining ...) , Oil & gas branch Good knowledge on industrial plans reading (P&ID’s, PFD…) and process documents Good level on Office Pack required Fluent in English required",https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1110586&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&cs=1_8f300a7f&cb=1654778335650&jobListingId=1007850248464&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-0b8e0046da5e78e8--6NYlbfkN0CvAkBB-wLKBJwpk_QEebqWsMYGMubWCIlbd5f4RRvvMajjU7yhmcH0K2dRz1TmRSKdm8Upf3RZH4nytu1q6PKHJU-yazDYPwCWCm9iFAL-K40QdPbcaepaqPFFZtgfq3u3TtRripd5GuWWmPSzX1iBa2hqbAAnv7Ztow5HB6HOTVGa15xtxkAf0kFNEO6SnRQY7hxPFKog6uetHuO2FqZEFfLyUCfm7Xka5X02ZtHZtTDj4srldCh6e6bZKOfgvvA8CxpXHl2WfT20aEFJu5oboGOKFJ-2JgFef1vQQUa3t_XBfBkCSQrVBPwU1ki8SCvU9vUmoL5Bf6Kbr-k6LodIzuFCRuLkvDrWLEDK8t9ghLHpTLOWPMKSZ4hJ5CHxoOyNf76ZqGd0nWZO9rnzsN4MChQf5PPd0DK4_necKLheaMJFn0mUuy9gJBcLoRd51ahrEETWUTMiJ1cUSBzE4x75Kg9EVh75EVVUY969U5JJCsNTD2-bCGWKQ35Fqm7Zxat_VHGyG9lDCxTwpKnsI9lse3mXyRV3xxE%3D
ESCA Incorporated,3.7,CIVIL DESIGN ENGINEERS,Quezon City,"Interprets survey reports, maps, drawings, blueprints, aerial photography, and other topographical or geographic data. Performs analysis, calculations and design hydraulic systems and structures, following construction and government standards, using design software and drawing tools. Performs analysis, calculations and design of road geometry and profile. Performs grading design and calculations of earthworks. Assists in inspecting project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards. Assists construction, operations, and maintenance activities at project site. Performs estimating works to quantities and cost of materials, equipment, or labor. Assists in coordinating work with other disciplines such as architectural, mechanical, electrical, etc. Performs other tasks assigned from time to time. Registered Civil Engineer with at least 2 years of experience in civil and/or land development works. Fresh graduates are encouraged to apply. Knowledge in the design of roads, water supply, storm drainage and/or sewerage systems. Proficient in AutoCADD and MS Office. Knowledge in Autodesk Civil 3D software.",https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&cs=1_159541fe&cb=1654778335660&jobListingId=1006530498241&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-04be6847722bcafb-
D.L. CERVANTES CONSTRUCTION CORP.,NA,Project Engineer,Manila,Health insurance Life insurance Paid training 8 hour shift 13th month salary Overtime pay Performance bonus Manila: Reliably commute or planning to relocate before starting work (Required) Bachelor's (Preferred) Project Engineer: 1 year (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ba9dcd2c&cb=1654778335653&jobListingId=1007855572968&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-b6b6300ba331c389-
Fastech Advanced Assembly Inc.,4.3,Cadet Engineer,Cabuyao,"Graduate of engineering course (ECE, CHE, IE, ME, Material Science) With or without experience. Fresh graduates are welcome to apply! Computer literate Can work in shifting schedule (Tri-shift) 8 hour shift Cabuyao, Laguna: Reliably commute or planning to relocate before starting work (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_17b01062&cb=1654778335653&jobListingId=1007903921545&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-eee5d9f76d5a5635-
Divergence HR Consulting Group,NA,"Junior Engineers (Open to Fresh Graduates - EE, ECE, CPE)",Alabang,"Current vacancies are for IC Design Engineer and IC Layout Engineer Open to fresh graduates Willing to start ASAP Willing to work in Alabang, Muntinlupa Flexible work schedule - (e.g. 7-4 pm, 8-5 pm, 9-6 pm) Fixed Weekends off. Day shift only Exciting Benefits Package HMO on your day 1. Free snacks and coffee And many more! Company events Flexible schedule Flextime Health insurance Paid training Staff meals provided Transportation service provided 8 hour shift Flexible shift Monday to Friday 13th month salary Overtime pay Alabang: Reliably commute or planning to relocate before starting work (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e735d6ad&cb=1654778335653&jobListingId=1007917217706&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-dd22a40dd25443a0-
"TRI-PHIL International, Inc.",3.5,QC Engineer,Muntinlupa,Material Quality Performance In-house quality performance 8 hour shift 13th month salary Overtime pay Performance bonus Muntinlupa City: Reliably commute or planning to relocate before starting work (Required),https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_156f129a&cb=1654778335659&jobListingId=1007850363689&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-28fae7783447b501-
The Emirates Group,4.0,LICENSED AIRCRAFT ENGINEER III,Manila,"Job Purpose: To carry out and ensure that routine maintenance tasks and defect rectification of aircraft is carried out in accordance with laid down procedures and regulations. Job Outline: - Generic: BUSINESS OBJECTIVE: To carry out aircraft maintenance/servicing tasks compliant to manufacturers & local safety procedures. Ensure that the assigned zones/aircraft are maintained IAW the documentation issued by approved authorities ensuring compliance is maintained to the latest revisions. This is applicable to all Technical Publications e.g. Aircraft documentation, Technical Notices, Quality Notices, Engineering Procedures Manual etc. Staff must ensure their personal approval/licensing requirements are valid and applicable to aircraft types worked through close liaison with Quality Assurance/GCAA. Audit process and procedures to ensure the highest level of maintenance is achieved with the resources available. Ensure prompt attendance to all allocated aircraft arrival/departures with the intent to maximize the opportunities during ground time and avoid operational delays/disruptions. - COST CONTROL: Ensure all off-aircraft tasks i.e. spares handling, robberies, hold items...etc. are handled strictly IAW Company procedures and all the relevant paperwork is actioned in a way that provides full transparency to all involved. Determine that any tooling/equipment used is serviceable and appropriate for the task and should be able to understand and use specialized tooling where required. Robbery procedures used as a method to reduce costs and ensure a right-first-time pocket of good practice is formulated to ensure costs are reduced by avoiding multiple attempts to rectify defects. Ensure trouble shooting follows laid down procedures and all tools used to ensure that fault rectification is carried out in the most expedient and cost effective manner. To ensure that effective and efficient use of ordering of spares/ materials takes place and that as a result DBNUs are reduced to zero. - RESOURCES: Ensure resources and manpower available is supportive of the business needs allowing targets/milestones set to be adequately met. To carry out any component changes as is necessary as part of the troubleshooting process and as directed by immediate supervisor. This will include the ability to obtain and understand AMM, IPC, or other Manufacturer/vendor documentation required to carry out the task. Ensure that available resources are utilised fully to meet the business needs. - SAFETY: Ensure that all activities performed and personnel responsible for are closely monitored to ensure the best possible application of safety rules and regulations are applied ensuring full understanding and adherence to Company procedures. Staff must highlight deficiencies/ requirements (whether for aircraft or hangar use) through the effective use of reporting tools in support of the overall quality improvement process and actively participate in propagating and enhancing the Group safety culture. Participate and promote in creating a safety culture in an effort to minimize accidents and highlight deficiencies/failures that can lead to such accidents. Ensure all work locations are kept clean and excellent housekeeping conditions are maintained. To avoid FOD, will be vigilant in ensuring work areas (including the ramp), vehicles, stands, lockers and toolboxes are all kept clean. Responsible of being fully conversant with airport safety regulations including, holding and maintaining an airport driving permit. Should be fully conversant with airport manoeuvring area requirements and be able to fully comply. - COMMUNICATIONS: Establish effective up-down rapport with Manager, Senior Engineers and sub-ordinates to maintain a seamless flow of information to highlight/detect and address any scenarios/events that might be disruptive to the operation. Ensure all relevant reports pertaining to issues of service delays, incidents and accidents, are completed in detail identifying all elements leading up to events. This includes completion of the necessary documentation including all relevant information that will allow rectification of defects by concerned sections through short-term maintenance planning. Additional reviews of all other activities/actions must be performed to allow process improvements to be implemented as necessary. - HR REVIEWS: Responsible for conducting performance reviews for staff under their direct control through the fair and just application of the Performance Matters! tool. Deficiencies or inability to meet objectives/competencies must be highlighted during interim reviews and an agreed course of action implemented to improve/correct any issues identified. Each to be effective in guiding/coaching/counselling junior staff assigned to their team, including National and Expat Trainees, ensuring action and development plans are in place to address any areas of concern. Ensure all staff allocated to him/her and themselves efficiently clock on/ clock off Job cards in the process of performing their usual duties. Must be available to assume duties and responsibilities of shift manager/senior engineer shift whenever delegated by the section manager. - TRAINING: Attend training modules as and when required by the Company to enhance skills and understanding that will benefit the business. Required to undergo recurrent Human Factors Training, to comply with CAR 145 requirements every 2 years. Ensure that any training courses attended are turned into approvals as required within 3.5 months from completion of attended course. - ADAPTABILITY (Specific to EK engineering): Be available to be deployed anywhere throughout the EK operation including diversionary airfields to assist in the recovery process of an AOG (Aircraft on Ground), and/or the aircraft/component manufacturers' facilities to act as EK Rep. to oversee the final assembly of Emirates' new aircraft, supervise any outsourced maintenance work and assisting in the acceptance/delivery process. Also available for postings to outstations to support the needs of EK operations.
Qualifications & Experience: Engineering.Other : : National / Higher National Diploma (12+2 or equivalent) or Apprenticeship in Mechanical, Electronic, Avionics or Aeronautical Engineering or equivalent training with a reputable airline or an approved maintenance organisation. Must have UAE GCAA/ ICAO Type II/ EASA 66 licence type rated in at least 1 Emirates aircraft type. 7+ years in aviation maintenance environment as an Aircraft Technician with a reputable airline or Aircraft Maintenance Organisation. Knowledge/skills: Fully conversant with Air Legislation and legal matters that relate to the operation and maintenance of aircraft to international standards. Safety Sensitive role- Yes Details of Safety Sensitive role ENA Working at height Yes Exposure to hazardous energy systems Yes Heavy lifting Yes Working in areas with motorised mobile equipment Yes Work in confined spaces Yes Contact with contaminations materials (Humans/Animals/Chemicals) Yes Contact with dangerous good Yes Work in an extremely noisy environment Yes Work in heat Yes Working with pressurised substances Yes Exposure to fixed protruding sharp objects Yes Exposure to contact with moving/falling objects Yes Airport driving permit Yes Other ( please specify)
Salary & Benefits: Join our growing team and enjoy a competitive remuneration package, discounts on flights and hotel stays.Show more ",https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&cs=1_900f0f67&cb=1654778335650&jobListingId=1007916277181&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-034701f090c25ee8-
Shopee,3.9,Facilities Engineer,Manila,"
Manage utilization of office space and physical assets; he/she shall participate in maximizing office space with consideration to safety, compliance to local government policies and efficiency 
Monitor condition of office and its physical assets. Perform initial assessment for regular maintenance, necessary repairs, replacements or any form of rectifications. 
Monitor and control utilities consumption and proposed energy initiatives that will generate significant cost savings 
Manage relationships with existing contractors, real estate brokers, and building administrators 
Familiar with the construction and real estate service industry and able to tap potential partners for current and future business needs 
Exhibit effective communication with concern service provider and/or landlord for any issues related in the facility 
Support both Office and Warehouses Facilities of any space related and maintenance concerns 
Keep track of the commercial details in contracts of lease, renewals, extensions, construction, and other agreements related to company’s facility 
Plan and forecast company requirements such as physical assets, seats, office space and other related factors 
Performs all other miscellaneous responsibilities and duties, as needed 
Bachelor's degree; preferably in Architecture and Engineering, or any related field. Licensed Architect and/or extensive knowledge in AutoCAD is an advantage 
At least 5 years of strong experience in Facilities Management 
Knowledgeable in local government standards related to safety in an office set up 
Eye for quality and attention to detail 
Knowledgeable in understanding construction plans 
Preferably with knowledge in construction methods and processes. 
Excellent time and project management skills 
MS Office skills (Word, Excel, Powerpoint) 
Ability to work in a fast-paced environment 
Flexible to field work",https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&cs=1_bfb53c64&cb=1654778335659&jobListingId=1007923140461&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-5592a39e956b2733-
FURUKAWA THERMAL MANAGEMENT SOLUTIONS AND PRODUCTS LAGUNA INC.,NA,Planning Engineer,Santa Rosa,"Health insurance Life insurance Opportunities for promotion Promotion to permanent employee Transportation service provided 8 hour shift 13th month salary Overtime pay Santa Rosa City, Laguna: Reliably commute or planning to relocate before starting work (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8f0c2fea&cb=1654778335660&jobListingId=1007901907003&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-78a8f785b7398851-
Megawide Construction Corporation,3.8,Field Engineer,Parañaque,"At least 2 years experience in the same capacity exposed in Vertical Construction. Assist in the project superintendent in construction slab, beam/ girders, stairs, precast, columns, shear and core wall. Interprets and executes plans and specifications & controls the over- all inter-phasing of structural works. Coordinates and assists the subcontractors for the proper execution of wor assignment. With excellent organizational and project management skills. Health insurance Life insurance Paid training 8 hour shift Holidays 13th month salary Overtime pay Performance bonus Parañaque City: Reliably commute or planning to relocate before starting work (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_008faa58&cb=1654778335660&jobListingId=1007911658470&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-53913897e3ab474e-
Corporate Executive Search Inc.,2.5,Technical Assistant (Engineer),Taguig,"The Technical Assistant is responsible for providing technical information in order to address the specific needs and requirements of the COO through analyzing information, offering broad range of ideas and diverse perspectives, using a variety of approaches, techniques, strategies, and resources, and thinking innovatively to find solutions to challenges and provide well-documented assessments and reports. Ensures that the COO's directives, required information, and updates on programs/initiatives are communicated accurately and in a timely manner with the COO's direct reports and other executives, while maintaining confidentiality in sharing information. Responsible for documentation of Operations and Maintenance standards and processes, business process mapping, Quality Management System compliance. Must be a degree holder in Engineering preferably in Civil or Electrical. With 2 to 4 years of related experience. Preferably with Renewable Energy background but not required. Analytical, critical thinking, and solutions- focused, problem-solving abilities Ability to analyze and improve processes, protocols, and procedures Ability to work under pressure while maintaining focus Excellent oral and written communication skills Interpersonal and people-handling skills Ability to build relationships and liaise with diverse team members and partners Day shift Monday to Friday Bachelor's (Required)",https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_636cce10&cb=1654778335653&jobListingId=1007707769962&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-526f1b1b7a081afe-
Manly Plastics,4.1,Cadet Engineer,Valenzuela,"
Candidate must be a graduate of BS Industrial Engineering, BS Electrical Engineering, BS Electronics and Communication Engineering, and BS Mechanical Engineering. 
With or without work experience. 
With high sense of responsibility. 
Can work with minimum supervision. 
Willing to have shifting schedule.",https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&cs=1_a8c09763&cb=1654778335654&jobListingId=1006607946947&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-d4d46020071d3390-
Dimension-All Inc.,NA,Junior Design Engineer,Calamba,Prepares the initial proposal for take-off list and drawings based on client's requirement and structural plans Prepares Design Calculation and Methodology of proposed layout Responsible also for the rework based on client's comment or EM's recommendation B.S. Degree in any Engineering Course (with or without license) At least 1 year work experience Basic and Advanced CAD Knowledge Additional leave Company Christmas gift Company events Flextime Health insurance Life insurance Paid training Work from home 10 hour shift 13th month salary Overtime pay Bachelor's (Required) Design Engineer: 1 year (Required) Temporarily due to COVID-19,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_464acd07&cb=1654778335650&jobListingId=1007643369729&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-6981c8b8daa1d65a-
Al Amal Recruitment Specialist,NA,Assistant Chief Engineer,Tagaytay,"Tagaytay, Cavite: Reliably commute or planning to relocate before starting work (Preferred) How many years of experience do you have in the hotel industry? Can you start immediately? Bachelor's (Preferred) Assistant Chief Engineer: 5 years (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d498e51e&cb=1654778335659&jobListingId=1007897568524&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-c263504825285d2d-
